Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$100K - $130K (Employer est.),"At Fulcrum, we provide cutting-edge data science consulting and software solutions to help companies solve challenging business problems. Through the utilization of our innovative products and dedicated team, clients are able to operate more efficiently, manage risk, and make informed business decisions every day. Fulcrum Analytics has stood at the forefront of data, analytics, and innovative software for over 25 years, offering sophisticated solutions, groundbreaking technologies, and winning strategies that help companies achieve their targeted results.
Role Description:
The Data Scientist role is expected to develop analytical, statistical, and machine learning solutions to client business problems. The Data Scientist will have a number of responsibilities, including:",-1,Fulcrum Analytics,Remote,-1,-1,-1,-1,-1,-1
Artificial Intelligence Engineer,$105.00 Per Hour (Employer est.),"Job Role:- OCTO-Artificial Intelligence Engineer (718804)
Location:- 200 I street SE Washington DC 20003 (ONSITE)
Pay Rate:- $105/hr on W2
Client:- District of Columbia
Complete Description:
The position functions as an Information Technology Specialist who serves as an AI Engineer responsible for establishing and maintaining a scalable infrastructure to support the deployment and operations of AI applications. This includes working with DC Government agencies to understand the required scale and expected usage of AI applications to support long term operations.",-1,"Changing Technologies, Inc.","Washington, DC",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Artificial Intelligence Engineer,$85K - $122K (Glassdoor est.),"NLT is seeking a candidate who's aligned with our end-user's mission to direct the strategy, deployment, and management of their technology with an unwavering commitment to IT excellence, efficiency, and value for culture, residents, businesses, and visitors.
The position functions as an Information Technology Specialist who serves as an AI Engineer responsible for establishing and maintaining a scalable infrastructure to support the deployment and operations of AI applications. This includes working with agencies to understand the required scale and expected usage of AI applications to support long term operations.
MAJOR DUTIES
Creates and maintains cloud infrastructure to support AI applications and tools.",4.9 ★,"New Light Technologies, Inc.4.9 ★","Washington, DC",1 to 50 Employees,-1,Company - Private,Accounting & Tax,Financial Services,$1 to $5 million (USD)
Machine Learning Scientist,-1,"Strong Analytics is seeking Machine Learning Scientists to help design and develop machine-learning based solutions for clients ranging from startups to Fortune 500s. ML Scientists are core contributors at Strong, with responsibilities such as building data analysis pipelines, designing/training/validating machine learning models and algorithms, and collaborating with colleagues and clients on state-of-the-art research. The ideal candidate is proficient in Python and/or R, SQL, and has prior experience working on ML solutions from concept to production.

At Strong, your work will have an immediate impact on clients addressing real world challenges. Our work spans industries such as manufacturing, gaming, agriculture, automotive, and healthcare, among others. We pride ourselves not only in building the right solutions for our clients through research and development, but in implementing and scaling up those solutions through strong engineering. This role thus requires a deep expertise in applying data science and machine learning to real-world problems where data must be gathered, transformed, cleaned, and integrated into a larger architecture.",5 ★,Strong Analytics5 ★,Remote,1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
Sr. Data Analyst,$52.73 - $90.50 Per Hour (Employer est.),"Minimum 9 years of experience in global organizations as a Data Analyst.
Proficiency in Data Analysis, with working experience in SQL and relational databases
Strong communication skills, both verbal and written; as well as work in an international team setting.
Have strong reasoning skills, logical deduction and apply to data analysis
Collaborate effectively across a variety of IT and Business groups, across regions and roles.
Present and be able to tell a story with the data analysis/reporting",3.9 ★,Zen & Art3.9 ★,"New York, NY",501 to 1000 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,$25 to $100 million (USD)
Data Scientist,$79K - $117K (Employer est.),"No Relocation Assistance Offered
# 154742 - Piscataway, New Jersey, United States
The data scientist is responsible for developing data-driven approaches and infrastructure to inform and accelerate product innovation, product design, and product development. This person will work with cross functional teams to gather, wrangle, cleanse, structure, and build models that are distributed to the greater R&D team and aligned with organizational goals. The role applies data analytics to enable new revenue-generating business models and improve underlying business processes for cost savings.

Responsbilities:",4.2 ★,Colgate-Palmolive4.2 ★,"Piscataway, NJ",10000+ Employees,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
GCP Data Architect,$65.00 - $70.00 Per Hour (Employer est.),"GCP Data Architect
The primary role of the Data Architect is to support and expand the Data & Analytics platforms that process, store, organize the data critical for the data and analytics team. This role will have expertise in data movement and database technologies support data analytics and Machine Learning (ML) / Artificial Intelligence (AI) capabilities in the cloud. This person is able to identify performance bottle necks in complex enterprise applications and identify tuning opportunities
Responsibilities
· Possess deep functional and technical understanding of the Machine Learning technologies (Google’s Cloud Platform) and leverage it across Client’s large, complex and diverse landscape.",3.3 ★,Reveille Technologies3.3 ★,Remote,1 to 50 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
AI ENGINEER - FULL STACK APPLICATIONS,$47K - $148K (Employer est.),"JOB DESCRIPTION
MUST HAVE:
- strong full stack cloud engineers experience
- Azure
- python (this role will be 90% on the backend)
- angular
- some experience or interest in learning AI cognitive services.
- they work in cloud services using serverless functions (required),
- SQL/NoSQL databases (required)
- service bus/event hub (preferred)
- container environments (preferred)
- OCR/ICR (willing to learn)
- cognitive search (willing to learn)
- computer vision (willing to learn)
- speech to text transcription (willing to learn)-
- OpenAI (willing to learn) etc.",-1,Market Tree Research,Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Sr. AI Developer / Machine Learning Engineer,-1,"Location: Remote or Beavercreek, OH

HumanIT Solutions currently has an opening for an Sr. Artificial Intelligence (AI) Developer / Sr. Machine Learning Engineer, we are seeking a dedicated, talented, and experienced AI Developer to work as part of a leading-edge research and engineering, design and development team. HuanIT seeks mission and team-oriented individuals who enjoy working as an individual contributor in highly collaborative and interdisciplinary teams.

The primary effort the AI developer will be contributing to is the development of novel metrics for measuring the robustness of ML systems. The secondary effort will be designing, then comparing ML systems trained interactively to independently trained counterparts.

You will work as part of a research team to develop creative and innovative solutions for complex machine learning and artificial intelligence problems.

? Collect, process, and analyze various types of data for researching and developing analytics tools and approaches.

? Research, then implement machine learning algorithms, techniques, and other tools from academic literature.

? Work along with full-stack developers to build UIs, data visualizations, and model performance charts for downstream use",4.8 ★,HumanIT Solutions4.8 ★,"Beavercreek, OH",51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Senior Product Data Scientist,$127K - $152K (Employer est.),"Do the best work of your career as a champion for small and mid-size businesses.

BILL is a leader in financial automation software for small and midsize businesses (SMBs). As a champion of SMBs, we are dedicated to automating the future of finance so businesses can thrive. Hundreds of thousands of businesses trust BILL solutions to manage financial workflows, including payables, receivables, and spend and expense management. With BILL, businesses are connected to a network of millions of members, so they can pay or get paid faster. Through our automated solutions, we help SMBs simplify and control their finances, so they can confidently manage their businesses, and succeed on their terms.",3.9 ★,Bill.com3.9 ★,"San Jose, CA",1001 to 5000 Employees,2006,Company - Public,Financial Transaction Processing,Financial Services,$500 million to $1 billion (USD)
Senior Data Analyst,$90K - $130K (Employer est.),"A pioneer in K–12 education since 2000, Amplify is leading the way in next-generation curriculum and assessment. Our core and supplemental programs in ELA, math, and science engage all students in rigorous learning and inspire them to think deeply, creatively, and for themselves. Our formative assessment products help teachers identify the targeted instruction students need to build a strong foundation in early reading and math. All of our programs provide educators with powerful tools that help them understand and respond to the needs of every student. Today, Amplify serves more than 10 million students in all 50 states. For more information, visit amplify.com.
As a member of the engineering organization at Amplify, you will join a dedicated team taking on the most challenging problems in education with the best ideas in technology – including user experience, APIs and services, data analysis, and deployment pipelines. You’ll play an active role in inventing and improving product design and the classroom experience.",4.2 ★,"Amplify Education, Inc.4.2 ★",Remote,201 to 500 Employees,2000,Company - Private,Primary & Secondary Schools,Education,$100 to $500 million (USD)
Sr. Data Scientist/Lead Data Scientist,$70.00 - $85.00 Per Hour (Employer est.),"Required Skillsets:
Analytics, Machine Learning, Full-stack data science
Exposure to deep learning, reinforcement learning and neural networks
Exposure to LLM and Generative AI
Exposure to Document extraction and chat
Hands on Linux, python, and open-source skills are required
Databricks, MLOps, High-performance data engineering, and Security knowledge preferred
Responsibilities:",-1,ABN Tech Corp,"Woodland Hills, CA",-1,-1,-1,-1,-1,-1
"Associate Director, Data Science and Analytics",$117K - $163K (Glassdoor est.),"Company Description

Hi there! We're Razorfish. We've been leading the marketing industry with our digital expertise since the start of the internet. But in 2020, we did a full reboot. What's different? It all starts with people. Weird, wonderful, complex people - with diverse backgrounds in strategy, creative and technology. But no matter how different we are, we all have one thing in common. We believe our differences are our strength. So, we push for inclusion, challenge convention, and bring in new perspectives, to inspire new ideas. Because when we connect by understanding what makes people different, we can create unforgettable experiences that enrich lives. Join us at razorfish.com.",3.9 ★,Razorfish3.9 ★,"Miami, FL",1001 to 5000 Employees,-1,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable
Data Scientist (Remote - US based),$112K - $225K (Employer est.),"Company Description

Due to the nature of this role, candidates must be geographically located, and authorized to work, in the United States.

Tidepool is a leading healthcare technology nonprofit company that is revolutionizing the way people with diabetes manage their condition. Our mission is to make diabetes data more accessible, actionable, and meaningful, empowering individuals and healthcare providers to make informed decisions and improve health outcomes. By leveraging cutting-edge technology and data-driven solutions, Tidepool is dedicated to making a positive impact on the lives of millions affected by diabetes.",-1,Tidepool,"Palo Alto, CA",1 to 50 Employees,2013,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $25 million (USD)
Sr. Data Scientist,-1,"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Creating a life you love also means finding a career that celebrates the unique perspectives and experiences that you bring. As you read through the expectations of the position, consider how your skills and experiences may complement the responsibilities of the role. We encourage you to think through your relevant and transferable skills from prior experiences.

Not Specified
0",3.8 ★,Pinterest3.8 ★,Remote,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
Senior Data Scientist,$90K - $139K (Glassdoor est.),"SS&C is a global provider of investment and financial services and software for the financial services and healthcare industries. Named to Fortune 1000 list as top U.S. company based on revenue, SS&C is headquartered in Windsor, Connecticut and has 20,000+ employees in over 90 offices in 35 countries. Some 18,000 financial services and healthcare organizations, from the world's largest institutions to local firms, manage and account for their investments using SS&C's products and services.
Job Description
Senior Data Scientist
Location: Waltham, MA | Hybrid
Get To Know The Team:
As a Senior Data Scientist, you will be working with the largest repository of corporate, board-level business information in the world. You will work with Product Managers, Business Analysts, Data Analysts, User Experience Designers, ML Engineers, and Senior Executives to gather requirements and apply data science methodologies to solve complex business problems.",3.1 ★,SS&C3.1 ★,"Waltham, MA",10000+ Employees,1986,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
